,source,motion,subject,muscle,run,speed,volume
0,biostamp,bodyl,ya3m,cspine,1,slow,0.26595101886662437
0,biostamp,bodyl,ya3m,cspine,3,slow,0.3084262537567959
0,biostamp,bodyl,ya3m,cspine,2,slow,0.2124069471851174
0,biostamp,bodyl,ya3m,cspine,1,slow,0.3429579719370653
0,biostamp,bodyl,ya3m,cspine,3,slow,0.26694178666799095
0,biostamp,bodyl,ya3m,cspine,2,slow,0.3296122799212787
0,biostamp,bodyl,ssi2f,cspine,1,slow,0.23788095154621888
0,biostamp,bodyl,ssi2f,cspine,3,slow,0.3886940554408768
0,biostamp,bodyl,ssi2f,cspine,2,slow,0.31174725482540766
0,biostamp,bodyl,ssi2f,cspine,1,slow,0.7201001448100962
0,biostamp,bodyl,ssi2f,cspine,3,slow,0.6174051360467682
0,biostamp,bodyl,ssi2f,cspine,2,slow,0.4542882820202147
0,biostamp,bodyl,cg1f,cspine,1,slow,0.1223956209422472
0,biostamp,bodyl,cg1f,cspine,3,slow,0.13300985719950115
0,biostamp,bodyl,cg1f,cspine,2,slow,0.12589251841383725
0,biostamp,bodyl,cg1f,cspine,1,slow,0.16839060014720733
0,biostamp,bodyl,cg1f,cspine,3,slow,0.15026837758613176
0,biostamp,bodyl,cg1f,cspine,2,slow,0.12328265413424044
0,biostamp,bodyl,gsp1m,cspine,1,slow,0.24642736763121523
0,biostamp,bodyl,gsp1m,cspine,3,slow,0.5719476404855577
0,biostamp,bodyl,gsp1m,cspine,2,slow,0.296210358759284
0,biostamp,bodyl,gsp1m,cspine,1,slow,0.5396310832967233
0,biostamp,bodyl,gsp1m,cspine,3,slow,0.4575005370580054
0,biostamp,bodyl,gsp1m,cspine,2,slow,0.445772222281803
0,biostamp,bodyl,ch2m,cspine,1,slow,0.1824012038343907
0,biostamp,bodyl,ch2m,cspine,3,slow,0.16751217182516498
0,biostamp,bodyl,ch2m,cspine,2,slow,0.16128476143383297
0,biostamp,bodyl,ch2m,cspine,1,slow,0.21387036824418593
0,biostamp,bodyl,ch2m,cspine,3,slow,0.17711612881732347
0,biostamp,bodyl,ch2m,cspine,2,slow,0.1631000407869793
0,biostamp,bodyl,es3f,cspine,1,slow,0.11993508812787963
0,biostamp,bodyl,es3f,cspine,3,slow,0.2411542806735522
0,biostamp,bodyl,es3f,cspine,2,slow,0.12172389314661865
0,biostamp,bodyl,es3f,cspine,1,slow,0.23550779257478716
0,biostamp,bodyl,es3f,cspine,3,slow,0.4144591394077248
0,biostamp,bodyl,es3f,cspine,2,slow,0.33197629214899843
0,biostamp,shoulderfe,ya3m,forearm,1,slow,1.868949071024019
0,biostamp,shoulderfe,ya3m,forearm,3,slow,1.8387856976267112
0,biostamp,shoulderfe,ya3m,forearm,2,slow,1.7377890509837621
0,biostamp,shoulderfe,ya3m,forearm,1,slow,10.153132057351112
0,biostamp,shoulderfe,ya3m,forearm,3,slow,6.725947332630779
0,biostamp,shoulderfe,ya3m,forearm,2,slow,6.271457180915093
0,biostamp,shoulderfe,ssi2f,forearm,1,slow,2.9859218437430286
0,biostamp,shoulderfe,ssi2f,forearm,3,slow,3.579381512470008
0,biostamp,shoulderfe,ssi2f,forearm,2,slow,3.484375158880857
0,biostamp,shoulderfe,ssi2f,forearm,1,slow,18.074865374336195
0,biostamp,shoulderfe,ssi2f,forearm,3,slow,17.409529607208594
0,biostamp,shoulderfe,ssi2f,forearm,2,slow,12.432385169372063
0,biostamp,shoulderfe,cg1f,forearm,1,slow,0.9521919730695695
0,biostamp,shoulderfe,cg1f,forearm,3,slow,1.100225899109536
0,biostamp,shoulderfe,cg1f,forearm,2,slow,1.0842952088457838
0,biostamp,shoulderfe,cg1f,forearm,1,slow,8.03244428717973
0,biostamp,shoulderfe,cg1f,forearm,3,slow,5.68821909594836
0,biostamp,shoulderfe,cg1f,forearm,2,slow,7.752468604337881
0,biostamp,shoulderfe,gsp1m,forearm,1,slow,1.113036226337211
0,biostamp,shoulderfe,gsp1m,forearm,3,slow,1.353044038542695
0,biostamp,shoulderfe,gsp1m,forearm,2,slow,1.4305660341294417
0,biostamp,shoulderfe,gsp1m,forearm,1,slow,8.139593409762883
0,biostamp,shoulderfe,gsp1m,forearm,3,slow,15.854392976893184
0,biostamp,shoulderfe,gsp1m,forearm,2,slow,6.953096732764811
0,biostamp,shoulderfe,ch2m,forearm,1,slow,1.4633705466016245
0,biostamp,shoulderfe,ch2m,forearm,3,slow,1.4586742033302897
0,biostamp,shoulderfe,ch2m,forearm,2,slow,1.345342616061898
0,biostamp,shoulderfe,ch2m,forearm,1,slow,6.460401555873006
0,biostamp,shoulderfe,ch2m,forearm,3,slow,5.700289152080513
0,biostamp,shoulderfe,ch2m,forearm,2,slow,5.9948153534986215
0,biostamp,shoulderfe,es3f,forearm,1,slow,1.3819237624379619
0,biostamp,shoulderfe,es3f,forearm,3,slow,1.5654938094418762
0,biostamp,shoulderfe,es3f,forearm,2,slow,1.5198374749295334
0,biostamp,shoulderfe,es3f,forearm,1,slow,6.331963017761516
0,biostamp,shoulderfe,es3f,forearm,3,slow,7.88796853177399
0,biostamp,shoulderfe,es3f,forearm,2,slow,8.526541257749061
0,biostamp,bicepc,ya3m,forearm,1,slow,0.8737275222324943
0,biostamp,bicepc,ya3m,forearm,3,slow,1.1002565182568087
0,biostamp,bicepc,ya3m,forearm,2,slow,0.9407666415658539
0,biostamp,bicepc,ya3m,forearm,1,slow,1.7577476503931766
0,biostamp,bicepc,ya3m,forearm,3,slow,1.430258567839876
0,biostamp,bicepc,ya3m,forearm,2,slow,1.576560023181025
0,biostamp,bicepc,ssi2f,forearm,1,slow,0.8992617926647083
0,biostamp,bicepc,ssi2f,forearm,3,slow,1.3477547565514683
0,biostamp,bicepc,ssi2f,forearm,2,slow,1.1934755164025288
0,biostamp,bicepc,ssi2f,forearm,1,slow,1.8208229216779652
0,biostamp,bicepc,ssi2f,forearm,3,slow,2.2385663648797984
0,biostamp,bicepc,ssi2f,forearm,2,slow,1.917919566247489
0,biostamp,bicepc,cg1f,forearm,1,slow,0.573694676969956
0,biostamp,bicepc,cg1f,forearm,3,slow,0.6001414997982504
0,biostamp,bicepc,cg1f,forearm,2,slow,0.6347899567133517
0,biostamp,bicepc,cg1f,forearm,1,slow,0.8481152914861991
0,biostamp,bicepc,cg1f,forearm,3,slow,0.9762112942535346
0,biostamp,bicepc,cg1f,forearm,2,slow,0.9642900191348482
0,biostamp,bicepc,gsp1m,forearm,1,slow,0.842474167535629
0,biostamp,bicepc,gsp1m,forearm,3,slow,0.9499611890565273
0,biostamp,bicepc,gsp1m,forearm,2,slow,0.9471214714513981
0,biostamp,bicepc,gsp1m,forearm,1,slow,2.7051958543905457
0,biostamp,bicepc,gsp1m,forearm,3,slow,1.8873359550914226
0,biostamp,bicepc,gsp1m,forearm,2,slow,2.0381300750812863
0,biostamp,bicepc,ch2m,forearm,1,slow,0.7584942254885916
0,biostamp,bicepc,ch2m,forearm,3,slow,0.8149201194707907
0,biostamp,bicepc,ch2m,forearm,2,slow,0.7972359836563906
0,biostamp,bicepc,ch2m,forearm,1,slow,1.2150146621665376
0,biostamp,bicepc,ch2m,forearm,3,slow,1.463094686546129
0,biostamp,bicepc,ch2m,forearm,2,slow,1.4396742975722483
0,biostamp,bicepc,es3f,forearm,1,slow,0.5856083704644973
0,biostamp,bicepc,es3f,forearm,3,slow,0.7151544368253756
0,biostamp,bicepc,es3f,forearm,2,slow,0.6404461923164767
0,biostamp,bicepc,es3f,forearm,1,slow,0.979606260422747
0,biostamp,bicepc,es3f,forearm,3,slow,0.9512705311846922
0,biostamp,bicepc,es3f,forearm,2,slow,1.1219377718696821
0,biostamp,chestaa,ya3m,forearm,1,slow,1.9321197491037807
0,biostamp,chestaa,ya3m,forearm,3,slow,1.6779489990820708
0,biostamp,chestaa,ya3m,forearm,2,slow,1.829941623948957
0,biostamp,chestaa,ya3m,forearm,1,slow,6.920849524850709
0,biostamp,chestaa,ya3m,forearm,3,slow,6.776938584540045
0,biostamp,chestaa,ya3m,forearm,2,slow,9.09065363310211
0,biostamp,chestaa,ssi2f,forearm,1,slow,1.880815890717583
0,biostamp,chestaa,ssi2f,forearm,3,slow,1.6299184676647007
0,biostamp,chestaa,ssi2f,forearm,2,slow,2.1271295277693825
0,biostamp,chestaa,ssi2f,forearm,1,slow,5.3846523524164995
0,biostamp,chestaa,ssi2f,forearm,3,slow,5.95677657956387
0,biostamp,chestaa,ssi2f,forearm,2,slow,8.442674924932813
0,biostamp,chestaa,cg1f,forearm,1,slow,0.6609241245163512
0,biostamp,chestaa,cg1f,forearm,3,slow,0.7082321517804161
0,biostamp,chestaa,cg1f,forearm,2,slow,0.6791745177557682
0,biostamp,chestaa,cg1f,forearm,1,slow,1.906307528851182
0,biostamp,chestaa,cg1f,forearm,3,slow,1.7490665509782035
0,biostamp,chestaa,cg1f,forearm,2,slow,1.4699006802471735
0,biostamp,chestaa,gsp1m,forearm,1,slow,1.0042801507356525
0,biostamp,chestaa,gsp1m,forearm,3,slow,1.497618307923924
0,biostamp,chestaa,gsp1m,forearm,2,slow,0.9249578698064882
0,biostamp,chestaa,gsp1m,forearm,1,slow,2.1652146898982845
0,biostamp,chestaa,gsp1m,forearm,3,slow,2.9378503592835274
0,biostamp,chestaa,gsp1m,forearm,2,slow,2.9633351823208924
0,biostamp,chestaa,ch2m,forearm,1,slow,0.7265219270295227
0,biostamp,chestaa,ch2m,forearm,3,slow,0.797695614796181
0,biostamp,chestaa,ch2m,forearm,2,slow,0.7991815927023015
0,biostamp,chestaa,ch2m,forearm,1,slow,2.506245106031001
0,biostamp,chestaa,ch2m,forearm,3,slow,1.706728591438447
0,biostamp,chestaa,ch2m,forearm,2,slow,1.3911717813682754
0,biostamp,chestaa,es3f,forearm,1,slow,0.6596701713495429
0,biostamp,chestaa,es3f,forearm,3,slow,0.8466345316140531
0,biostamp,chestaa,es3f,forearm,2,slow,0.9633914081782992
0,biostamp,chestaa,es3f,forearm,1,slow,2.155180162424046
0,biostamp,chestaa,es3f,forearm,3,slow,2.882994057434603
0,biostamp,chestaa,es3f,forearm,2,slow,2.8925905134038286
0,biostamp,fingerp,ya3m,index,1,slow,0.7505709260846473
0,biostamp,fingerp,ya3m,index,3,slow,0.7328162686204196
0,biostamp,fingerp,ya3m,index,2,slow,2.3442878943115097
0,biostamp,fingerp,ya3m,index,1,slow,2.820762373427341
0,biostamp,fingerp,ya3m,index,3,slow,2.4060960381601446
0,biostamp,fingerp,ya3m,index,2,slow,2.3442878943115097
0,biostamp,fingerp,ssi2f,index,1,slow,2.1878065601073895
0,biostamp,fingerp,ssi2f,index,3,slow,3.1957159932371355
0,biostamp,fingerp,ssi2f,index,2,slow,13.785044344131535
0,biostamp,fingerp,ssi2f,index,1,slow,17.70911592105349
0,biostamp,fingerp,ssi2f,index,3,slow,8.372214031161258
0,biostamp,fingerp,ssi2f,index,2,slow,9.816930626546162
0,biostamp,fingerp,cg1f,index,1,slow,0.2656390897386109
0,biostamp,fingerp,cg1f,index,3,slow,0.5847716789935743
0,biostamp,fingerp,cg1f,index,2,slow,0.20665406675859674
0,biostamp,fingerp,cg1f,index,1,slow,0.6188969895908794
0,biostamp,fingerp,cg1f,index,3,slow,0.5847716789935743
0,biostamp,fingerp,cg1f,index,2,slow,0.9410644820597869
0,biostamp,fingerp,gsp1m,index,1,slow,0.7563735446071163
0,biostamp,fingerp,gsp1m,index,3,slow,0.8631223105950034
0,biostamp,fingerp,gsp1m,index,2,slow,1.153805924897949
0,biostamp,fingerp,gsp1m,index,1,slow,6.163632639123858
0,biostamp,fingerp,gsp1m,index,3,slow,5.393628698957266
0,biostamp,fingerp,gsp1m,index,2,slow,9.011550072680167
0,biostamp,fingerp,ch2m,index,1,slow,0.6077021993072043
0,biostamp,fingerp,ch2m,index,3,slow,0.5412053518815965
0,biostamp,fingerp,ch2m,index,2,slow,0.5674544380370721
0,biostamp,fingerp,ch2m,index,1,slow,2.0141060656202505
0,biostamp,fingerp,ch2m,index,3,slow,2.528565736837931
0,biostamp,fingerp,ch2m,index,2,slow,1.6095613769419175
0,biostamp,fingerp,es3f,index,1,slow,2.74947169485577
0,biostamp,fingerp,es3f,index,3,slow,6.655484471452878
0,biostamp,fingerp,es3f,index,2,slow,2.112895853861459
0,biostamp,fingerp,es3f,index,1,slow,10.744538802944522
0,biostamp,fingerp,es3f,index,3,slow,9.206382485690257
0,biostamp,fingerp,es3f,index,2,slow,3.00103454248686
0,biostamp,shoulderaa,ya3m,forearm,1,slow,2.2417033714306234
0,biostamp,shoulderaa,ya3m,forearm,3,slow,2.662741413134875
0,biostamp,shoulderaa,ya3m,forearm,2,slow,2.5239429471720305
0,biostamp,shoulderaa,ya3m,forearm,1,slow,13.458977643011957
0,biostamp,shoulderaa,ya3m,forearm,3,slow,13.210604763443447
0,biostamp,shoulderaa,ya3m,forearm,2,slow,11.891474676941224
0,biostamp,shoulderaa,ssi2f,forearm,1,slow,2.8708073854954756
0,biostamp,shoulderaa,ssi2f,forearm,3,slow,2.865643275462313
0,biostamp,shoulderaa,ssi2f,forearm,2,slow,3.328846842856322
0,biostamp,shoulderaa,ssi2f,forearm,1,slow,14.130459766650505
0,biostamp,shoulderaa,ssi2f,forearm,3,slow,15.838464102689631
0,biostamp,shoulderaa,ssi2f,forearm,2,slow,14.24643385017155
0,biostamp,shoulderaa,cg1f,forearm,1,slow,1.83052365545949
0,biostamp,shoulderaa,cg1f,forearm,3,slow,1.4518738803843099
0,biostamp,shoulderaa,cg1f,forearm,2,slow,1.6670798359738144
0,biostamp,shoulderaa,cg1f,forearm,1,slow,6.762075184214229
0,biostamp,shoulderaa,cg1f,forearm,3,slow,7.990481030834733
0,biostamp,shoulderaa,cg1f,forearm,2,slow,7.092886586634696
0,biostamp,shoulderaa,gsp1m,forearm,1,slow,2.905099936946021
0,biostamp,shoulderaa,gsp1m,forearm,3,slow,1.9125780333610485
0,biostamp,shoulderaa,gsp1m,forearm,2,slow,1.8542603818295904
0,biostamp,shoulderaa,gsp1m,forearm,1,slow,3.22835936249284
0,biostamp,shoulderaa,gsp1m,forearm,3,slow,9.889186519039999
0,biostamp,shoulderaa,gsp1m,forearm,2,slow,9.10320013034002
0,biostamp,shoulderaa,ch2m,forearm,1,slow,2.0289447839730905
0,biostamp,shoulderaa,ch2m,forearm,3,slow,4.818494396497142
0,biostamp,shoulderaa,ch2m,forearm,2,slow,2.0230086322734944
0,biostamp,shoulderaa,ch2m,forearm,1,slow,8.645737972408337
0,biostamp,shoulderaa,ch2m,forearm,3,slow,9.992565919138288
0,biostamp,shoulderaa,ch2m,forearm,2,slow,7.906762678156729
0,biostamp,shoulderaa,es3f,forearm,1,slow,1.8064438865412153
0,biostamp,shoulderaa,es3f,forearm,3,slow,1.4941788906240963
0,biostamp,shoulderaa,es3f,forearm,2,slow,1.6842290161375169
0,biostamp,shoulderaa,es3f,forearm,1,slow,9.536432406368588
0,biostamp,shoulderaa,es3f,forearm,3,slow,9.488154441194093
0,biostamp,shoulderaa,es3f,forearm,2,slow,8.064511476404823
